English,Spanish,Type
April,Abril,Noun
August,Agosto,Noun
Black,Negro,Adjective
Blue,Azúl,Adjective
Brown,Marrón,Adjective
December,Diciembre,Noun
Domingo,Sunday,Noun
February,Febrero,Noun
Gray,Gris,Adjective
Green,Verde,Adjective
January,Enero,Noun
July,Julio,Noun
June,Junio,Noun
March,Marzo,Noun
May,Mayo,Noun
Monday,Lunes,Noun
November,Noviembre,Noun
October,Octubre,Noun
Orange,Anaranjado,Adjective
Pink,Rosado,Adjective
Purple,Morada,Adjective
Red,Rojo,Adjective
Sábado,Saturday,Noun
September,Septiembre,Noun
Thursday,Jueves,Noun
Tuesday,Martes,Noun
Viernes,Friday,Noun
Wednesday,Miércoles,Noun
White,Blanco,Adjective
Yellow,Amarillo,Adjective
