English,Spanish,Type
Bakery,La panadería,Noun
Beautiful,Nice,Adjective
Beautiful,Bello,Adjective
Bus stop,La parada de autobus,Noun
Cafeteria,La cafetería,Noun
Candy shop,La dulcería,Noun
Cash,El dinero en efectivo,Noun
Clothing store,La tienda de ropa,Noun
Credit card,La tarjeta de crédito,Noun
Double room,La habitación doble,Noun
Elevator,El ascensor,Noun
Expensive,Caro,Adjective
Fish store,La pescadería,Noun
Florist,La florería,Noun
Free time,El tiempo libre,Noun
Fruit stand,La frutería,Noun
Funeral parlor,La funeraría,Noun
Furniture shop,La mueblería,Noun
Grocery store,La abarrotería,Noun
Hair salon,La peluquería,Noun
Handicrafts,Las artesanías,Noun
Hardware store,La ferretería,Noun
Hotel room,La habitación,Noun
Hotel,El hotel,Noun
Ice cream shop,La heladería,Noun
Inn,El hostal,Noun
Jewelry shop,La joyería,Noun
Jewelry,Las joyas,Noun
Key,La llave,Noun
Library,La librería,Noun
Lodging,El alojamiento,Noun
Meat market,La carnicería,Noun
Open-air market,El mercado al aire libre,Noun
Paper shop,La papelería,Noun
Pet store,La tienda de mascotas,Noun
Pharmacy,La farmacía,Noun
Postcard,La tarjeta postal,Noun
Reception desk,La recepción,Noun
Shoe store,La zapatería,Noun
Single room,La habitación individual,Noun
Souvenir,El recuerdo,Noun
Supermarket,El supermercado,Noun
Tire shop,La llantería,Noun
To bargain,Regatear,Verb
To be on vacation,Estar de vacaciones,Verb
To Camp,Acampar,Verb
To fish,Pescar,Verb
To go on a day trip,Hacer una excursion,Verb
To go sightseeing,Ver las atracciones,Verb
To have a reservation,Tener una reservación,Verb
To hike,Dar una caminata,Verb
To make a reservation,Hacer una reservación,Verb
To ride a horse,Montar a caballo,Verb
To send postcards,Mandar tarjetas postales,Verb
To take photos,Tomar fotos,Verb
To visit a museum,Visitar un museo,Verb
Too high,Demasiado,Adjective
Too much,Demasiado,Adjective
Tourist office,La oficina de turismo,Noun
Tourist,La turista,Noun
Toy store,La juguetería,Noun
Train station,La estación de tren,Noun
