English,Spanish,Type
Bill,La cuenta,Noun
Bitter,Amargo,Adjective
Bowl,El plato hondo,Noun
Clean,Limpio,Adjective
Closed,Cerrado,Adjective
Cup,"La taza,El vaso",Noun
Cutlery,Los cubiertos,Noun
Delicious,Delicioso,Adjective
Dessert,El postre,Noun
Dirty,Sucio,Adjective
Drink,La bebida,Noun
Flavor,El sabor,Noun
Food,La comida,Noun
Fork,El tenedor,Noun
Full,Lleno,Adjective
Hunger,El hambre,Noun
Knife,El cuchillo,Noun
Main dish,La entrada,Noun
Menu,"El menú, La carta",Noun
Napkin,La servilleta,Noun
Open,Abierto,Adjective
Pepper,La pimienta,Noun
"Plate, Dish, Meal",El plato,Noun
Refreshment,El refresco,Noun
Reservation,La reserva,Noun
Restraunt,El restaurante,Noun
Rich,Rico,Adjective
Salt,La sal,Noun
Salty,Salado,Adjective
Satisfied,Satisfecho,Adjective
Saucer,El platillo,Noun
Sea food,Los mariscos,Noun
Sour,Agrio,Adjective
Spoon,La cuchara,Noun
Sweet,Dulce,Adjective
Table,La mesa,Noun
Thirst,La sed,Noun
Tip,La propina,Noun
To cook,Cocinar,Verb
Waiter,El camarero,Noun
