English,Spanish,Type
AIDS,El SIDA,Noun
Allergy,La alergia,Noun
Ambulance,La ambulancia,Noun
Apendicitis,El apendicitis,Noun
Appointment,La consulta,Noun
Blood,La sangre,Noun
Cancer,El cáncer,Noun
"Cast, Plaster",El yeso,Noun
Chicken pox,La varicela,Noun
Clinic,La clínica,Noun
Cold,El resfriado,Noun
Cough,La tos,Noun
Crutches,Las muletas,Noun
Diarrhea,La diarrea,Noun
Doctor,El médico,Noun
Doctor's office,La oficina del médico,Noun
Flu,La gripe,Noun
Gloves,Los guantes,Noun
Headache,El dolor de cabeza,Noun
Healthy,"Sano, Saludable",Adjective
Heart Attack,"El infarto, El ataque de corazón",Noun
Heavy,Pesado,Adjective
Hospital,El hospital,Noun
Infection,La infección,Noun
Injection,La inyección,Noun
Mask,La mascarilla,Noun
Measels,El sarampión,Noun
Mumps,Las paperas,Noun
Needle,La aguja,Noun
Nurse,La enfermera,Noun
Pills,Las pastillas,Noun
Pneumonia,La pulmonía,Noun
Prescription,La receta,Noun
Scar,La cicatriz,Noun
Sick,Enfermo,Adjective
Smallpox,La viruela,Noun
Sore throat,El dolor de garganta,Noun
Stomach ache,El dolor de estómago,Noun
Surgery,La cirugía,Noun
"Temperature, Fever","La fiebre, La temperatura",Noun
To cough,Toser,Verb
To cure,Curar,Verb
To die,Morir,Verb
To examine,"Examinar, Revisar",Verb
To faint,Desmayarse,Verb
To fall,Caerse,Verb
To feel,Sentirse,Verb
To fracture,Fracturarse,Verb
To get burned,Quemarse,Verb
To get cut,Cortarse,Verb
To get hit,Golpearse,Verb
To get motion sickness,Merearse,Verb
To get sick,Enfermarse,Verb
To hurt,Doler,Verb
To pass away,Fallecer,Verb
To recover,Recuperarse,Verb
To sneeze,Estornudar,Verb
To suffer,Sufrir,Verb
To sweat,Sudar,Verb
To swell,Hincharse,Verb
To throw up,Vomitar,Verb
Vaccine,La vacuna,Noun
X-ray,"Los rayos X, La radiografía",Noun
