English,Spanish,Type
One,Uno,Noun
Two,Dos,Noun
Three,Tres,Noun
Four,Cuatro,Noun
Five,Cinco,Noun
Six,Seis,Noun
Seven,Siete,Noun
Eight,Ocho,Noun
Nine,Nueve,Noun
Ten,Diez,Noun
Eleven,Once,Noun
Twelve,Doce,Noun
Thirteen,Trece,Noun
Fourteen,Catorce,Noun
Fifteen,Quince,Noun
Sixteen,Dieciséis,Noun
Seventeen,Diecisiete,Noun
Eighteen,Dieciocho,Noun
Nineteen,Diecinueve,Noun
Twenty,Veinte,Noun
Thirty,Treinta,Noun
Fourty,Cuarenta,Noun
Fifty,Cincuenta,Noun
Sixty,Sesenta,Noun
Seventy,Setenta,Noun
Eighty,Ochenta,Noun
Ninety,Noventa,Noun
Hundred,Cien,Noun
Thousand,Mil,Noun
Million,Millón,Noun
