English,Spanish,Type
"About,Over",Sobre,Preposition
According to,Según,Preposition
After,"Tras,Después de",Preposition
Against,Contra,Preposition
"At,By means of,To",A,Preposition
Before,Antes de,Preposition
Behind,"Tras,Detrás de",Preposition
Between,Entre,Preposition
By,Por,Preposition
For,"Por,Para",Preposition
"From,Since",Desde,Preposition
"In,On",En,Preposition
In front of,"Delante de,Enfrente de",Preposition
In order to,Para,Preposition
Inside of,Dentro de,Preposition
Near,Cerca de,Preposition
Of,De,Preposition
On top of,Encima de,Preposition
Outside of,Fuera de,Preposition
Towards,Hacia,Preposition
Under,Bajo,Preposition
Until,Hasta,Preposition
With,Con,Preposition
Without,Sin,Preposition
