English Infinitive,Spanish Infinitive,Present Participle Type,Spanish Present Participle,Regular Type,Spanish Present Yo,Spanish Present Tú,Spanish Present Él,Spanish Present Nosotros,Spanish Present Ellos,Preterite Type,Spanish Preterite Yo,Spanish Preterite Tú,Spanish Preterite Él,Spanish Preterite Nosotros,Spanish Preterite Ellos,Imperfect Type,Spanish Imperfect Yo,Spanish Imperfect Tú,Spanish Imperfect Él,Spanish Imperfect Nosotros,Spanish Imperfect Ellos,Simple Future Type,Spanish Simple Future Yo,Spanish Simple Future Tú,Spanish Simple Future Él,Spanish Simple Future Nosotros,Spanish Simple Future Ellos
To arrive,Llegar,Regular,Llegando,Regular,Llego,Llegas,Llega,Llegamos,Llegan,Orthographic,Llegué,Llegaste,Llegó,Llegamos,Llegaron,Regular,Llegaba,Llegabas,Llegaba,Llegábamos,Llegaban,Regular,Llegaré,Llegarás,Llegará,Llegaremos,Llegarán
To ask a question,Preguntar,Regular,Preguntando,Regular,pregunto,preguntas,pregunta,preguntamos,preguntan,Regular,Pregunté,Preguntaste,Preguntó,Preguntamos,Preguntaron,Regular,Preguntaba,Preguntabas,Preguntaba,Preguntábamos,Preguntaban,Regular,Preguntaré,Preguntarás,Preguntará,Preguntaremos,Preguntarán
To ask for,Pedir,Stem Changing,Pidiendo,Stem Changing,Pido,Pides,Pide,Pedimos,Piden,Stem Changing,Pedí,Pediste,Pidió,Pedimos,Pidieron,Regular,Pedía,Pedías,Pedía,Pedíamos,Pedían,Regular,Pediré,Pedirás,Pedirá,Pediremos,Pedirán
To attend,Asistir,Regular,Asistiendo,Regular,Asisto,Asistes,Asiste,Asistimos,Asisten,Regular,Asistí,Asististe,Asistió,Asistimos,Asistieron,Regular,Asistía,Asistías,Asistía,Asistíamos,Asistían,Regular,Asistiré,Asistirás,Asistirá,Asistiremos,Asistirán
To be,Estar,Regular,Estando,Irregular,Estoy,Estás,Está,Estamos,Están,Irregular,Estuve,Estuviste,Estuvo,Estuvimos,Estuvieron,Regular,Estaba,Estabas,Estaba,Estábamos,Estaban,Regular,Estaré,Estarás,Estará,Estaremos,Estarán
To be,Ser,Regular,Siendo,Irregular,Soy,Eres,Es,Somos,Son,Irregular,Fui,Fuiste,Fue,Fuimos,Fueron,Irregular,Era,Eras,Era,Éramos,Eran,Regular,Seré,Serás,Será,Seremos,Serán
To be able to,Poder,Irregular,Pudiendo,Stem Changing,Puedo,Puedes,Puede,Podemos,Pueden,Irregular,Pude,Pudiste,Pudo,Pudimos,Pudieron,Regular,Podía,Podías,Podía,Podíamos,Podían,Irregular,Podré,Podrás,Podrá,Podremos,Podrán
To be born,Nacer,Regular,Naciendo,Irregular,Nazco,Naces,Nace,Nacemos,Nacen,Regular,Nací,Naciste,Nació,Nacimos,Nacieron,Regular,Nacía,Nacías,Nacía,Nacíamos,Nacían,Regular,Naceré,Nacerás,Nacerá,Naceremos,Nacerán
To be pleasing,Gustar,Regular,Gustando,Regular,Gusto,Gustas,Gusta,Gustamos,Gustan,Regular,Gusté,Gustaste,Gustó,Gustamos,Gustaron,Regular,Gustaba,Gustabas,Gustaba,Gustábamos,Gustaban,Regular,Gustaré,Gustarás,Gustará,Gustaremos,Gustarán
To begin,Comenzar,Regular,Comenzando,Stem Changing,Comienzo,Comienzas,Comienza,Comenzamos,Comienzan,Orthographic,Comencé,Comenzaste,Comenzó,Comenzamos,Comenzaron,Regular,Comenzaba,Comenzabas,Comenzaba,Comenzábamos,Comenzaban,Regular,Comenzaré,Comenzarás,Comenzará,Comenzaremos,Comenzarán
To bring,Traer,Irregular,Trayendo,Irregular,Traigo,Traes,Trae,Traemos,Traen,Irregular,Traje,Trajiste,Trajo,Trajimos,Trajeron,Regular,Traía,Traías,Traía,Traíamos,Traían,Regular,Traeré,Traerás,Traerá,Traeremos,Traerán
To buy,Comprar,Regular,Comprando,Regular,Compro,Compras,Compra,Compramos,Compran,Regular,Compré,Compraste,Compró,Compramos,Compraron,Regular,Compraba,Comprabas,Compraba,Comprábamos,Compraban,Regular,Compraré,Comprarás,Comprará,Compraremos,Comprarán
To call,Llamar,Regular,Llamando,Regular,Llamo,Llamas,Llama,Llamamos,Llaman,Regular,Llamé,Llamaste,Llamó,Llamamos,Llamaron,Regular,Llamaba,Llamabas,Llamaba,Llamábamos,Llamaban,Regular,Llamaré,Llamarás,Llamará,Llamaremos,Llamarán
To clean,Limpiar,Regular,Limpiando,Regular,Limpio,Limpias,Limpia,Limpiamos,Limpian,Regular,Limpié,Limpiaste,Limpió,Limpiamos,Limpiaron,Regular,Limpiaba,Limpiabas,Limpiaba,Limpiábamos,Limpiaban,Regular,Limpiaré,Limpiarás,Limpiará,Limpiaremos,Limpiarán
To come,Venir,Stem Changing,Viniendo,"Irregular, Stem Changing",Vengo,Vienes,Viene,Venimos,Vienen,Irregular,Vine,Viniste,Vino,Vinimos,Vinieron,Regular,Venía,Venías,Venía,Veníamos,Venían,Irregular,Vendré,Vendrás,Vendrá,Vendremos,Vendrán
To dance,Bailar,Regular,Bailando,Regular,Bailo,Bailas,Baila,Bailamos,Bailan,Regular,Bailé,Bailaste,Bailó,Bailamos,Bailaron,Regular,Bailaba,Bailabas,Bailaba,Bailábamos,Bailaban,Regular,Bailaré,Bailarás,Bailará,Bailaremos,Bailarán
To die,Morir,Stem Changing,Muriendo,Stem Changing,Muero,Mueres,Muere,Morimos,Mueren,Stem Changing,Morí,Moriste,Murió,Morimos,Murieron,Regular,Moría,Morías,Moría,Moríamos,Morían,Regular,Moriré,Morirás,Morirá,Moriremos,Morirán
"To do,To make",Hacer,Regular,Haciendo,Irregular,Hago,Haces,Hace,Hacemos,Hacen,Irregular,Hice,Hiciste,Hizo,Hicimos,Hicieron,Regular,Hacía,Hacías,Hacía,Hacíamos,Hacían,Irregular,Haré,Harás,Hará,Haremos,Harán
To draw,Dibujar,Regular,Dibujando,Regular,Dibujo,Dibujas,Dibuja,Dibujamos,Dibujan,Regular,Dibujé,Dibujaste,Dibujó,Dibujamos,Dibujaron,Regular,Dibujaba,Dibujabas,Dibujaba,Dibujábamos,Dibujaban,Regular,Dibujaré,Dibujarás,Dibujará,Dibujaremos,Dibujarán
To drink,Beber,Regular,Bebiendo,Regular,Bebo,Bebes,Bebe,Bebemos,Beben,Regular,Bebí,Bebiste,Bebió,Bebimos,Bebieron,Regular,Bebía,Bebías,Bebía,Bebíamos,Bebían,Regular,Beberé,Beberás,Beberá,Beberemos,Beberán
To eat,Comer,Regular,Comiendo,Regular,Como,Comes,Come,Comemos,Comen,Regular,Comí,Comiste,Comió,Comimos,Comieron,Regular,Comía,Comías,Comía,Comíamos,Comían,Regular,Comeré,Comerás,Comerá,Comeremos,Comerán
To eat breakfast,Desayunar,Regular,Desayunando,Regular,Desayuno,Desayunas,Desayuna,Desayunamos,Desayunan,Regular,Desayuné,Desayunaste,Desayunó,Desayunamos,Desayunaron,Regular,Desayunaba,Desayunabas,Desayunaba,Desayunábamos,Desayunaban,Regular,Desayunaré,Desayunarás,Desayunará,Desayunaremos,Desayunarán
To eat dinner,Cenar,Regular,Cenando,Regular,Ceno,Cenas,Cena,Cenamos,Cenan,Regular,Cené,Cenaste,Cenó,Cenamos,Cenaron,Regular,Cenaba,Cenabas,Cenaba,Cenábamos,Cenaban,Regular,Cenaré,Cenarás,Cenará,Cenaremos,Cenarán
